iter	RMSE
0	10.40007085
1	9.813389593
2	9.297025631
3	8.882923738
4	8.507480535
5	8.176299821
6	7.891788725
7	7.602386587
8	7.396905796
9	7.200084136
10	7.036514139
11	6.865511729
12	6.706976626
13	6.563790115
14	6.441786816
15	6.338522174
16	6.245154002
17	6.146236517
18	6.066251002
19	6.002710928
20	5.931952785
21	5.880801663
22	5.776943748
23	5.705528181
24	5.61971631
25	5.56029046
26	5.509775146
27	5.43377331
28	5.381065238
29	5.338993832
30	5.303809901
31	5.260098784
32	5.194619321
33	5.159935305
34	5.135575748
35	5.084181542
36	5.064306732
37	5.012194436
38	4.977571764
39	4.92461179
40	4.876526312
41	4.852211834
42	4.818153205
43	4.79141193
44	4.758856164
45	4.723878874
46	4.6913525
47	4.659106762
48	4.63492662
49	4.60754479
50	4.584044263
51	4.561362226
52	4.546032017
53	4.530156673
54	4.512328434
55	4.492148343
56	4.469795119
57	4.439077965
58	4.420379944
59	4.397239467
60	4.378823088
61	4.368828645
62	4.351971515
63	4.341412431
64	4.330122801
65	4.313772351
66	4.293185434
67	4.274003823
68	4.255813202
69	4.246285281
70	4.228777557
71	4.210440714
72	4.196135094
73	4.188863872
74	4.175397492
75	4.159143295
76	4.143200279
77	4.126385162
78	4.111893993
79	4.100438904
80	4.088693665
81	4.079000226
82	4.065474576
83	4.053483319
84	4.045608136
85	4.035490133
86	4.021997362
87	4.01465761
88	4.006224572
89	3.9979533
90	3.990441732
91	3.984235626
92	3.974599536
93	3.965564852
94	3.959236141
95	3.953329428
96	3.946343827
97	3.942034327
98	3.933188352
99	3.925344029
100	3.919476591
101	3.911316021
102	3.902881866
103	3.896673484
104	3.893222246
105	3.888825881
106	3.881298398
107	3.873849222
108	3.868097612
109	3.861682522
110	3.854114293
111	3.850879389
112	3.846146451
113	3.83929376
114	3.832966726
115	3.829831012
116	3.823323369
117	3.818029905
118	3.814973513
119	3.810883632
120	3.808135202
121	3.805631859
122	3.800703337
123	3.796162786
124	3.792550021
125	3.788607441
126	3.784877091
127	3.779453108
128	3.777147379
129	3.7744138
130	3.768108742
131	3.763306005
132	3.759300836
133	3.755560602
134	3.751607268
135	3.747366073
136	3.743726928
137	3.740884636
138	3.738834327
139	3.736805112
140	3.734486036
141	3.731051655
142	3.728199954
143	3.726132681
144	3.722438176
145	3.719237674
146	3.717387287
147	3.713501812
148	3.711458093
149	3.708939982
150	3.70655273
151	3.704392103
152	3.701239362
153	3.698979386
154	3.695650255
155	3.693121829
156	3.690668461
157	3.687042393
158	3.68509792
159	3.683856092
160	3.681019911
161	3.678539658
162	3.675411468
163	3.67374648
164	3.67165546
165	3.669931675
166	3.668005244
167	3.666208833
168	3.66378217
169	3.661641696
170	3.659312747
171	3.658034034
172	3.655564883
173	3.65376307
174	3.651827699
175	3.65028991
176	3.647514076
177	3.64557888
178	3.64314675
179	3.640869284
180	3.639345267
181	3.638259874
182	3.636529234
183	3.635927047
184	3.634526461
185	3.633482177
186	3.632155138
187	3.630874769
188	3.629231013
189	3.6278155
190	3.625732152
191	3.624739622
192	3.623912833
193	3.622907411
194	3.621305741
195	3.619322879
196	3.617900615
197	3.616230654
198	3.615042969
199	3.613119508
200	3.612044012
201	3.610675261
202	3.609465711
203	3.607975389
204	3.607108232
205	3.605346344
206	3.604728
207	3.60306322
208	3.601783708
209	3.600073942
210	3.598483885
211	3.597784342
212	3.596699803
213	3.596045015
214	3.594695419
215	3.593454036
216	3.592069916
217	3.59138219
218	3.590269647
219	3.588558445
220	3.587054652
221	3.585945406
222	3.584449682
223	3.583796022
224	3.582534876
225	3.58157983
226	3.58046734
227	3.57947487
228	3.578835779
229	3.577435026
230	3.576219385
231	3.574846663
232	3.573843846
233	3.572360106
234	3.570713622
235	3.569632267
236	3.569016787
237	3.568128477
238	3.567664477
239	3.566500093
240	3.565527622
241	3.56507537
242	3.564530453
243	3.563768088
244	3.562601355
245	3.561653959
246	3.560735869
247	3.559752067
248	3.559428681
249	3.558793243
250	3.558017065
251	3.557299222
252	3.556335204
253	3.555330365
254	3.554466061
255	3.553674394
256	3.552589389
257	3.551479026
258	3.550678287
259	3.550193633
260	3.549940321
261	3.548791717
262	3.547994938
263	3.547289117
264	3.545906044
265	3.544999824
266	3.544376189
267	3.54392319
268	3.543099506
269	3.542373083
270	3.541037927
271	3.540651518
272	3.540056123
273	3.539128116
274	3.53861354
275	3.537997494
276	3.537410732
277	3.536452473
278	3.53615626
279	3.535419094
280	3.534772812
281	3.53386835
282	3.533306483
283	3.532733063
284	3.532276206
285	3.531989075
286	3.531445425
