iter	Passed	Remaining
0	151	453005
1	299	448363
2	457	457189
3	610	456954
4	766	458875
5	896	447450
6	1027	439340
7	1158	433380
8	1296	430955
9	1437	429954
10	1597	434027
11	1733	431556
12	1884	433053
13	2038	434858
14	2192	436208
15	2345	437443
16	2498	438472
17	2653	439537
18	2804	440081
19	2955	440304
20	3114	441795
21	3267	442364
22	3420	442734
23	3573	443164
24	3725	443345
25	3884	444325
26	4037	444597
27	4198	445595
28	4344	445037
29	4494	444927
30	4652	445572
31	4810	446199
32	4994	449067
33	5240	457146
34	5462	462785
35	5652	465409
36	5837	467486
37	6003	467952
38	6177	468976
39	6349	469868
40	6524	470852
41	6702	472047
42	6893	474040
43	7087	476162
44	7276	477810
45	7465	479405
46	7667	481775
47	7843	482397
48	8022	483164
49	8188	483127
50	8348	482754
51	8521	483131
52	8705	484077
53	8858	483299
54	9014	482670
55	9164	481804
56	9310	480724
57	9469	480349
58	9622	479679
59	9787	479567
60	9956	479695
61	10137	480409
62	10315	480877
63	10481	480824
64	10647	480765
65	10804	480295
66	10955	479570
67	11115	479254
68	11261	478359
69	11419	478004
70	11573	477467
71	11722	476703
72	11884	476533
73	12063	477009
74	12244	477526
75	12423	477973
76	12602	478394
77	12772	478485
78	12929	478071
79	13080	477446
80	13234	476931
81	13384	476287
82	13540	475883
83	13693	475370
84	13864	475474
85	14043	475829
86	14220	476139
87	14383	475976
88	14549	475874
89	14721	475997
90	14887	475913
91	15044	475521
92	15191	474848
93	15344	474380
94	15491	473713
95	15652	473489
96	15813	473268
97	15984	473335
98	16153	473358
99	16326	473457
100	16503	473703
101	16683	474003
102	16852	474004
103	17029	474209
104	17242	475407
105	17414	475444
106	17592	475664
107	17772	475895
108	17927	475479
109	18086	475178
110	18235	474621
111	18401	474495
112	18561	474214
113	18706	473574
114	18878	473595
115	19071	474162
116	19240	474099
117	19411	474091
118	19588	474229
119	19759	474229
120	19913	473805
121	20070	473457
122	20223	473036
123	20381	472718
124	20548	472609
125	20707	472328
126	20880	472367
127	21062	472578
128	21235	472621
129	21429	473098
130	21603	473124
131	21777	473168
132	21934	472838
133	22080	472265
134	22236	471914
135	22384	471392
136	22539	471027
137	22708	470959
138	22884	471025
139	23059	471067
140	23241	471249
141	23413	471234
142	23585	471222
143	23753	471103
144	23906	470714
145	24064	470416
146	24208	469841
147	24359	469419
148	24514	469075
149	24675	468838
150	24855	468953
151	25025	468908
152	25202	468959
153	25378	469010
154	25549	468950
155	25729	469065
156	25885	468738
157	26039	468375
158	26202	468181
159	26352	467765
160	26509	467461
161	26663	467104
162	26812	466677
163	26976	466492
164	27151	466507
165	27325	466508
166	27494	466421
167	27659	466254
168	27817	465983
169	27970	465631
170	28127	465342
171	28285	465070
172	28437	464704
173	28591	464372
174	28749	464091
175	28924	464103
176	29100	464134
177	29274	464117
178	29443	464022
179	29614	463960
180	29790	463967
181	29935	463502
182	30084	463103
183	30246	462905
184	30398	462548
185	30559	462334
186	30710	461966
187	30878	461866
188	31050	461812
189	31245	462099
190	31408	461921
191	31584	461930
192	31752	461804
193	31906	461498
194	32067	461283
195	32224	461002
196	32374	460645
197	32528	460331
198	32677	459945
199	32855	459976
200	33022	459855
201	33195	459802
202	33372	459820
203	33545	459765
204	33715	459688
