id,Sex,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
750000,1.2,45,177.0,81.0,7.0,87.0,39.8
750001,0.0,26,200.0,97.0,20.0,101.0,40.5
750002,0.0,29,188.0,85.0,16.0,102.0,40.4
750003,1.2,39,172.0,73.0,20.0,107.0,40.6
750004,0.0,30,173.0,67.0,16.0,94.0,40.5
750005,0.0,43,169.0,65.0,6.0,81.0,39.4
750006,0.0,74,189.0,97.0,9.0,86.0,40.0
750007,1.2,60,186.0,90.0,2.0,79.0,38.1
750008,0.0,21,196.0,91.0,4.0,84.0,38.7
750009,1.2,32,189.0,89.0,29.0,111.0,40.8
750010,1.2,21,189.0,89.0,21.0,92.0,40.7
750011,0.0,61,168.0,78.0,27.0,110.0,40.7
750012,1.2,64,174.0,72.0,15.0,88.0,40.3
750013,1.2,69,192.0,98.0,28.0,112.0,40.8
750014,0.0,48,195.0,96.0,15.0,97.0,40.3
750015,1.2,33,172.0,65.0,23.0,105.0,40.4
750016,1.2,72,171.0,74.0,11.0,95.0,39.7
750017,0.0,25,168.0,69.0,29.0,105.0,40.9
750018,1.2,30,174.0,78.0,22.0,104.0,40.6
750019,1.2,68,155.0,61.0,28.0,105.0,40.7
750020,1.2,39,189.0,94.0,17.0,95.0,40.5
750021,0.0,51,173.0,78.0,13.0,92.0,40.2
750022,1.2,42,160.0,58.0,15.0,95.0,39.8
750023,1.2,29,192.0,96.0,3.0,77.0,38.7
750024,0.0,43,175.0,76.0,8.0,91.0,39.7
750025,0.0,29,180.0,84.0,24.0,108.0,40.7
750026,1.2,31,167.0,62.0,15.0,96.0,40.1
750027,1.2,27,164.0,61.0,26.0,105.0,40.6
750028,1.2,29,177.0,77.0,21.0,93.0,40.3
750029,0.0,52,163.0,66.0,5.0,77.0,39.2
750030,0.0,37,191.0,93.0,18.0,94.0,40.6
750031,1.2,64,167.0,66.0,5.0,84.0,38.9
750032,0.0,28,193.0,93.0,10.0,87.0,39.4
750033,0.0,37,163.0,61.0,3.0,85.0,38.2
750034,1.2,32,187.0,87.0,19.0,98.0,40.4
750035,1.2,24,167.0,63.0,20.0,99.0,40.6
750036,0.0,54,175.0,76.0,12.0,86.0,39.7
750037,1.2,21,191.0,90.0,11.0,94.0,40.1
750038,1.2,37,166.0,63.0,27.0,101.0,40.7
750039,0.0,51,167.0,63.0,20.0,107.0,40.7
750040,0.0,20,193.0,93.0,22.0,99.0,40.3
750041,0.0,63,208.0,102.0,7.0,89.0,39.4
750042,1.2,32,177.0,73.0,16.0,99.0,40.3
750043,0.0,29,157.0,56.0,15.0,105.0,40.1
750044,0.0,33,155.0,52.0,27.0,112.0,41.0
750045,1.2,28,175.0,68.0,19.0,100.0,40.3
750046,0.0,75,177.0,74.0,30.0,109.0,40.7
750047,0.0,25,153.0,55.0,5.0,80.0,38.8
750048,0.0,50,187.0,96.0,6.0,90.0,39.0
750049,0.0,45,199.0,104.0,26.0,94.0,40.9
750050,0.0,43,169.0,67.0,29.0,113.0,40.8
750051,1.2,46,178.0,77.0,28.0,99.0,40.9
750052,1.2,30,186.0,78.0,7.0,84.0,39.6
750053,1.2,31,181.0,73.0,11.0,88.0,39.8
750054,1.2,59,177.0,77.0,13.0,95.0,40.4
750055,0.0,67,164.0,67.0,16.0,90.0,40.1
750056,0.0,41,171.0,64.0,21.0,100.0,40.6
750057,1.2,35,189.0,88.0,29.0,114.0,40.8
750058,0.0,36,164.0,60.0,23.0,102.0,40.8
750059,0.0,27,176.0,76.0,28.0,109.0,40.8
750060,0.0,71,188.0,93.0,15.0,101.0,40.0
750061,0.0,42,163.0,66.0,23.0,97.0,40.9
750062,1.2,20,176.0,68.0,23.0,99.0,40.7
750063,0.0,50,188.0,92.0,6.0,92.0,38.6
750064,1.2,24,174.0,76.0,22.0,106.0,40.6
750065,0.0,25,179.0,77.0,5.0,81.0,38.0
750066,0.0,26,191.0,93.0,7.0,97.0,39.5
750067,0.0,53,181.0,87.0,26.0,99.0,40.7
750068,1.2,21,160.0,59.0,2.0,84.0,38.2
750069,1.2,24,189.0,88.0,27.0,107.0,40.9
750070,0.0,41,159.0,56.0,18.0,97.0,40.4
750071,0.0,42,185.0,91.0,23.0,115.0,40.6
750072,0.0,25,155.0,57.0,24.0,104.0,40.1
750073,1.2,49,174.0,71.0,8.0,83.0,39.6
750074,1.2,22,160.0,59.0,26.0,103.0,40.5
750075,1.2,21,164.0,59.0,23.0,109.0,40.7
750076,1.2,42,196.0,102.0,14.0,99.0,39.7
750077,0.0,27,182.0,79.0,4.0,79.0,38.6
750078,1.2,22,186.0,82.0,22.0,109.0,40.6
750079,1.2,67,171.0,71.0,25.0,101.0,40.9
750080,1.2,20,152.0,49.0,15.0,92.0,40.2
750081,1.2,34,168.0,62.0,26.0,107.0,40.9
750082,1.2,46,199.0,102.0,4.0,83.0,39.1
