id,Sex,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,imc,Sex_encoded
750000,male,45,177.0,81.0,7.0,87.0,39.8,25.854639471416256,89.03368342867219
750001,male,26,200.0,97.0,20.0,101.0,40.5,24.25,87.53476116586509
750002,female,29,188.0,85.0,16.0,102.0,40.4,24.049343594386603,87.53476116586509
750003,female,39,172.0,73.0,20.0,107.0,40.6,24.675500270416443,89.03368342867219
750004,female,30,173.0,67.0,16.0,94.0,40.5,22.386314277122523,87.53476116586509
750005,female,43,169.0,65.0,6.0,81.0,39.4,22.758306781975424,87.53476116586509
750006,male,74,189.0,97.0,9.0,86.0,40.0,27.154894879762605,87.53476116586509
750007,male,60,186.0,90.0,2.0,79.0,38.1,26.014568158168572,89.03368342867219
750008,male,21,196.0,91.0,4.0,84.0,38.7,23.688046647230323,87.53476116586509
750009,male,32,189.0,89.0,29.0,111.0,40.8,24.915315920606925,89.03368342867219
750010,male,21,189.0,89.0,21.0,92.0,40.7,24.915315920606925,89.03368342867219
750011,male,61,168.0,78.0,27.0,110.0,40.7,27.636054421768712,87.53476116586509
750012,female,64,174.0,72.0,15.0,88.0,40.3,23.781212841854934,89.03368342867219
750013,male,69,192.0,98.0,28.0,112.0,40.8,26.58420138888889,89.03368342867219
750014,male,48,195.0,96.0,15.0,97.0,40.3,25.2465483234714,87.53476116586509
750015,female,33,172.0,65.0,23.0,105.0,40.4,21.971335857220122,89.03368342867219
750016,male,72,171.0,74.0,11.0,95.0,39.7,25.3069320474676,89.03368342867219
750017,male,25,168.0,69.0,29.0,105.0,40.9,24.44727891156463,87.53476116586509
750018,male,30,174.0,78.0,22.0,104.0,40.6,25.762980578676178,89.03368342867219
750019,female,68,155.0,61.0,28.0,105.0,40.7,25.390218522372525,89.03368342867219
750020,male,39,189.0,94.0,17.0,95.0,40.5,26.315052770079227,89.03368342867219
750021,male,51,173.0,78.0,13.0,92.0,40.2,26.061679307694877,87.53476116586509
750022,female,42,160.0,58.0,15.0,95.0,39.8,22.656249999999996,89.03368342867219
750023,male,29,192.0,96.0,3.0,77.0,38.7,26.041666666666668,89.03368342867219
750024,male,43,175.0,76.0,8.0,91.0,39.7,24.816326530612244,87.53476116586509
750025,male,29,180.0,84.0,24.0,108.0,40.7,25.925925925925924,87.53476116586509
750026,female,31,167.0,62.0,15.0,96.0,40.1,22.230987127541326,89.03368342867219
750027,female,27,164.0,61.0,26.0,105.0,40.6,22.679952409280194,89.03368342867219
750028,male,29,177.0,77.0,21.0,93.0,40.3,24.577867151840145,89.03368342867219
750029,female,52,163.0,66.0,5.0,77.0,39.2,24.840980089578082,87.53476116586509
750030,male,37,191.0,93.0,18.0,94.0,40.6,25.492722238973712,87.53476116586509
750031,female,64,167.0,66.0,5.0,84.0,38.9,23.66524436157625,89.03368342867219
750032,male,28,193.0,93.0,10.0,87.0,39.4,24.967113211092915,87.53476116586509
750033,female,37,163.0,61.0,3.0,85.0,38.2,22.95908765854944,87.53476116586509
750034,male,32,187.0,87.0,19.0,98.0,40.4,24.879178701135288,89.03368342867219
750035,female,24,167.0,63.0,20.0,99.0,40.6,22.589551436050055,89.03368342867219
750036,male,54,175.0,76.0,12.0,86.0,39.7,24.816326530612244,87.53476116586509
750037,male,21,191.0,90.0,11.0,94.0,40.1,24.67037636029714,89.03368342867219
750038,female,37,166.0,63.0,27.0,101.0,40.7,22.8625344752504,89.03368342867219
750039,female,51,167.0,63.0,20.0,107.0,40.7,22.589551436050055,87.53476116586509
750040,male,20,193.0,93.0,22.0,99.0,40.3,24.967113211092915,87.53476116586509
750041,male,63,208.0,102.0,7.0,89.0,39.4,23.57618343195266,87.53476116586509
750042,female,32,177.0,73.0,16.0,99.0,40.3,23.301094832264035,89.03368342867219
750043,female,29,157.0,56.0,15.0,105.0,40.1,22.7189744005842,87.53476116586509
750044,female,33,155.0,52.0,27.0,112.0,41.0,21.64412070759625,87.53476116586509
750045,female,28,175.0,68.0,19.0,100.0,40.3,22.20408163265306,89.03368342867219
750046,female,75,177.0,74.0,30.0,109.0,40.7,23.620287912158062,87.53476116586509
750047,female,25,153.0,55.0,5.0,80.0,38.8,23.49523687470631,87.53476116586509
750048,male,50,187.0,96.0,6.0,90.0,39.0,27.45288684263204,87.53476116586509
750049,male,45,199.0,104.0,26.0,94.0,40.9,26.261963081740358,87.53476116586509
750050,female,43,169.0,67.0,29.0,113.0,40.8,23.458562375266975,87.53476116586509
750051,male,46,178.0,77.0,28.0,99.0,40.9,24.302487059714682,89.03368342867219
750052,female,30,186.0,78.0,7.0,84.0,39.6,22.54595907041276,89.03368342867219
750053,female,31,181.0,73.0,11.0,88.0,39.8,22.282592106468055,89.03368342867219
750054,female,59,177.0,77.0,13.0,95.0,40.4,24.577867151840145,89.03368342867219
750055,female,67,164.0,67.0,16.0,90.0,40.1,24.910767400356935,87.53476116586509
750056,female,41,171.0,64.0,21.0,100.0,40.6,21.887076365377382,87.53476116586509
750057,male,35,189.0,88.0,29.0,114.0,40.8,24.635368550712467,89.03368342867219
750058,female,36,164.0,60.0,23.0,102.0,40.8,22.308149910767405,87.53476116586509
750059,male,27,176.0,76.0,28.0,109.0,40.8,24.535123966942148,87.53476116586509
750060,male,71,188.0,93.0,15.0,101.0,40.0,26.312811226799457,87.53476116586509
750061,female,42,163.0,66.0,23.0,97.0,40.9,24.840980089578082,87.53476116586509
750062,female,20,176.0,68.0,23.0,99.0,40.7,21.952479338842977,89.03368342867219
750063,male,50,188.0,92.0,6.0,92.0,38.6,26.029877772747852,87.53476116586509
750064,male,24,174.0,76.0,22.0,106.0,40.6,25.102391333069097,89.03368342867219
750065,male,25,179.0,77.0,5.0,81.0,38.0,24.031709372366656,87.53476116586509
750066,male,26,191.0,93.0,7.0,97.0,39.5,25.492722238973712,87.53476116586509
750067,male,53,181.0,87.0,26.0,99.0,40.7,26.555965935105768,87.53476116586509
750068,female,21,160.0,59.0,2.0,84.0,38.2,23.046874999999996,89.03368342867219
750069,male,24,189.0,88.0,27.0,107.0,40.9,24.635368550712467,89.03368342867219
750070,female,41,159.0,56.0,18.0,97.0,40.4,22.151022507021082,87.53476116586509
750071,male,42,185.0,91.0,23.0,115.0,40.6,26.588750913075234,87.53476116586509
750072,female,25,155.0,57.0,24.0,104.0,40.1,23.725286160249738,87.53476116586509
750073,female,49,174.0,71.0,8.0,83.0,39.6,23.450918219051392,89.03368342867219
750074,female,22,160.0,59.0,26.0,103.0,40.5,23.046874999999996,89.03368342867219
750075,female,21,164.0,59.0,23.0,109.0,40.7,21.936347412254616,89.03368342867219
750076,male,42,196.0,102.0,14.0,99.0,39.7,26.55143690129113,89.03368342867219
750077,male,27,182.0,79.0,4.0,79.0,38.6,23.849776597029344,87.53476116586509
750078,male,22,186.0,82.0,22.0,109.0,40.6,23.702162099664697,89.03368342867219
750079,female,67,171.0,71.0,25.0,101.0,40.9,24.280975342840534,89.03368342867219
750080,female,20,152.0,49.0,15.0,92.0,40.2,21.208448753462605,89.03368342867219
750081,female,34,168.0,62.0,26.0,107.0,40.9,21.9671201814059,89.03368342867219
750082,male,46,199.0,102.0,4.0,83.0,39.1,25.75692533016843,89.03368342867219
750083,female,24,159.0,54.0,17.0,96.0,40.5,21.359914560341757,89.03368342867219
750084,male,54,194.0,98.0,21.0,102.0,40.6,26.03889892655968,87.53476116586509
750085,male,45,179.0,79.0,10.0,92.0,39.7,24.65590961580475,87.53476116586509
750086,female,33,156.0,60.0,2.0,91.0,38.2,24.654832347140037,87.53476116586509
750087,male,45,186.0,83.0,9.0,94.0,40.0,23.991212856977683,89.03368342867219
750088,male,52,186.0,85.0,6.0,87.0,39.3,24.56931437160365,87.53476116586509
750089,male,73,184.0,87.0,14.0,95.0,40.3,25.697069943289225,89.03368342867219
750090,female,35,169.0,65.0,5.0,89.0,39.3,22.758306781975424,87.53476116586509
750091,male,37,179.0,81.0,22.0,104.0,40.3,25.280109859242845,89.03368342867219
750092,female,45,149.0,55.0,11.0,92.0,39.9,24.77365884419621,87.53476116586509
750093,female,28,157.0,54.0,14.0,95.0,40.1,21.907582457706194,87.53476116586509
750094,female,20,154.0,54.0,3.0,85.0,38.1,22.76943835385394,89.03368342867219
750095,female,27,168.0,64.0,4.0,86.0,39.0,22.67573696145125,89.03368342867219
750096,male,36,188.0,88.0,6.0,91.0,39.8,24.898143956541425,89.03368342867219
750097,male,23,180.0,73.0,9.0,93.0,39.5,22.530864197530864,87.53476116586509
750098,male,39,189.0,99.0,25.0,114.0,41.0,27.714789619551524,87.53476116586509
750099,male,54,191.0,96.0,7.0,88.0,39.7,26.315068117650284,87.53476116586509
750100,female,48,151.0,54.0,5.0,87.0,39.4,23.683171790710933,89.03368342867219
750101,female,67,159.0,60.0,21.0,102.0,40.8,23.73323840037973,89.03368342867219
750102,female,37,172.0,71.0,16.0,96.0,40.0,23.99945916711736,89.03368342867219
750103,female,47,160.0,61.0,13.0,90.0,40.1,23.828124999999996,89.03368342867219
750104,male,35,184.0,80.0,11.0,97.0,39.9,23.629489603024574,87.53476116586509
750105,male,50,181.0,88.0,2.0,81.0,38.1,26.861206922865602,89.03368342867219
750106,female,48,180.0,74.0,7.0,88.0,39.9,22.839506172839506,87.53476116586509
750107,female,77,173.0,73.0,20.0,107.0,40.7,24.3910588392529,89.03368342867219
750108,male,31,191.0,90.0,1.0,78.0,37.6,24.67037636029714,89.03368342867219
750109,female,50,173.0,67.0,9.0,90.0,39.7,22.386314277122523,89.03368342867219
750110,female,42,177.0,74.0,15.0,100.0,40.1,23.620287912158062,89.03368342867219
750111,male,54,177.0,83.0,8.0,87.0,39.5,26.493025631204315,89.03368342867219
750112,female,35,151.0,54.0,8.0,89.0,39.7,23.683171790710933,87.53476116586509
750113,male,40,187.0,86.0,22.0,86.0,40.3,24.59321112985787,89.03368342867219
750114,male,30,196.0,96.0,26.0,106.0,40.8,24.989587671803417,89.03368342867219
750115,male,55,169.0,72.0,15.0,90.0,40.4,25.209201358495854,87.53476116586509
750116,male,32,187.0,94.0,13.0,94.0,40.3,26.88095170007721,87.53476116586509
750117,female,62,156.0,58.0,21.0,100.0,40.3,23.83300460223537,89.03368342867219
750118,female,32,174.0,70.0,23.0,103.0,40.7,23.120623596247853,87.53476116586509
750119,female,48,172.0,63.0,2.0,90.0,38.4,21.29529475392104,89.03368342867219
750120,female,26,153.0,52.0,24.0,102.0,40.5,22.21367849972233,87.53476116586509
750121,male,21,198.0,99.0,21.0,105.0,40.5,25.252525252525253,89.03368342867219
750122,male,62,183.0,87.0,28.0,115.0,40.8,25.97867956642479,89.03368342867219
750123,female,46,180.0,74.0,13.0,97.0,40.0,22.839506172839506,87.53476116586509
750124,male,60,187.0,90.0,3.0,90.0,38.3,25.737081414967538,89.03368342867219
